Time(s),CELL VOLTAGE 1 (100 uV),CELL VOLTAGE 2 (100 uV),CELL VOLTAGE 3 (100 uV),CELL VOLTAGE 4 (100 uV),CELL VOLTAGE 5 (100 uV),CELL VOLTAGE 6 (100 uV),CELL VOLTAGE 7 (100 uV),CELL VOLTAGE 8 (100 uV),CELL VOLTAGE 9 (100 uV),CELL VOLTAGE 10 (100 uV),CELL VOLTAGE 11 (100 uV),CELL VOLTAGE 12 (100 uV),Temperature 1(C),Temperature 2(C),Temperature 3(C)
12305.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12345.900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12385.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12425.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12465.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12505.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12546.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12585.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12626.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12666.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12706.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12746.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12785.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12825.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12865.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12905.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12945.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13018.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13058.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13097.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13138.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13177.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13217.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13257.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13297.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13337.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13377.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13417.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13457.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13497.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13537.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13577.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13617.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
