Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
266.109,14392,-7975,26,94
266.609,14385,-7993,26,94
267.138,14385,-8006,26,94
267.592,14389,-8015,26,94
268.119,14385,-7953,26,94
268.579,14389,-7971,26,94
269.114,14389,-7953,26,94
269.590,14385,-7965,26,94
270.068,14385,-7940,26,94
270.672,14392,-7968,26,94
271.068,14389,-7950,26,94
271.609,14385,-7946,26,94
272.093,14385,-7984,26,94
272.634,14389,-7940,26,94
273.117,14392,-7996,26,94
273.604,14385,-7959,26,94
274.098,14392,-7978,26,94
274.613,14389,-7971,26,94
275.093,14385,-7984,26,94
275.565,14389,-7956,26,94
276.124,14385,-7950,26,94
276.644,14385,-7990,26,94
277.096,14385,-7950,26,94
277.594,14389,-7996,26,94
278.132,14378,-7993,26,94
278.594,14385,-7990,26,94
279.078,14385,-7965,26,94
279.595,14385,-7959,26,94
280.089,14385,-7978,26,94
280.600,14382,-7978,26,94
281.098,14389,-7975,26,94
281.626,14389,-7971,26,94
282.078,14385,-7971,26,94
282.587,14382,-7959,26,94
283.122,14382,-7937,26,94
283.640,14385,-7953,26,94
284.111,14385,-7950,26,94
284.598,14389,-7987,26,94
285.081,14382,-7978,26,94
285.619,14382,-7993,26,94
286.118,14385,-7993,26,94
286.631,14385,-7968,26,94
287.097,14385,-8006,26,94
287.626,14385,-7984,26,94
288.117,14385,-7940,26,94
288.613,14382,-7946,26,94
289.124,14378,-7968,26,94
289.616,14382,-8012,26,94
290.134,14382,-7940,26,94
290.633,14378,-8006,26,94
291.129,14378,-7987,26,94
291.621,14385,-7990,26,94
292.118,14378,-7968,26,94
292.605,14378,-7996,26,94
293.116,14374,-7978,26,94
293.630,14385,-7990,26,94
294.124,14382,-7965,26,94
294.609,14385,-8000,26,94
295.103,14385,-7959,26,94
295.668,14378,-7968,26,94
296.109,14382,-7965,26,94
296.625,14378,-7996,26,94
297.099,14378,-7975,26,94
297.618,14378,-7965,26,94
298.095,14374,-7978,26,94
298.648,14378,-7993,26,94
299.115,14382,-7990,26,94
299.608,14378,-8000,26,94
300.089,14374,-7968,26,94
300.628,14374,-7946,26,94
301.130,14382,-7971,26,94
301.781,14378,-7971,26,94
302.111,14378,-7975,26,94
302.628,14378,-8000,26,94
303.146,14382,-7965,26,94
303.589,14382,-7953,26,94
304.142,14374,-7987,26,94
304.586,14378,-8000,26,94
305.180,14378,-8000,26,94
305.618,14374,-7996,26,94
306.108,14378,-7956,26,94
306.622,14382,-7971,26,94
307.121,14374,-7971,26,94
307.614,14374,-7968,26,94
308.168,14378,-7990,26,94
308.597,14374,-8000,26,94
309.103,14374,-7971,26,94
309.617,14378,-7937,26,94
310.141,14378,-7984,26,94
310.642,14378,-7956,26,94
311.121,14374,-7959,26,94
311.641,14374,-7971,26,94
312.144,14374,-7965,26,94
312.646,14371,-7956,26,94
313.098,14374,-7953,26,94
313.627,14378,-7956,26,94
314.139,14371,-7975,26,94
314.617,14374,-7953,26,94
315.149,14374,-7987,26,94
315.602,14374,-7909,26,94
316.098,14371,-7971,26,94
316.639,14378,-8006,26,94
317.102,14374,-7987,26,94
317.696,14374,-8015,26,94
318.159,14371,-7956,26,94
318.662,14374,-7990,26,94
319.117,14374,-7987,26,94
319.637,14371,-7968,26,94
320.117,14374,-7996,26,94
320.656,14371,-7931,26,94
321.128,14371,-7990,26,94
321.639,14374,-7975,26,94
322.152,14367,-7953,26,94
322.641,14374,-7950,26,94
323.114,14374,-8009,26,94
323.653,14374,-7978,26,94
324.118,14374,-7984,26,94
324.620,14371,-7956,26,94
325.116,14374,-8018,26,94
325.616,14371,-7984,26,94
326.175,14374,-7940,26,94
326.635,14374,-7934,26,94
327.134,14371,-7965,26,94
327.626,14374,-7971,26,94
328.114,14367,-7959,26,94
328.661,14367,-7993,26,94
329.152,14374,-7971,26,94
329.644,14374,-7984,26,94
330.122,14371,-7971,26,94
330.675,14374,-7978,26,94
331.176,14371,-8000,26,94
331.591,14367,-7965,26,94
332.114,14371,-7953,26,94
332.610,14371,-7953,26,94
333.144,14371,-7996,26,94
333.621,14374,-7996,26,94
334.134,14364,-8028,26,94
334.631,14367,-7896,26,94
335.141,14371,-7965,26,94
335.640,14371,-7990,26,94
336.096,14367,-7965,26,94
336.596,14364,-7971,26,94
337.121,14367,-7968,26,94
337.668,14367,-7978,26,94
338.128,14371,-7912,26,94
338.622,14364,-7959,26,94
339.116,14367,-7956,26,94
339.651,14364,-7937,26,94
340.157,14367,-7978,26,94
340.605,14364,-7978,26,94
341.143,14371,-7968,26,94
341.626,14367,-7990,26,94
342.129,14367,-7993,26,94
342.672,14367,-7956,26,94
343.161,14367,-7946,26,94
343.623,14367,-7934,26,94
344.185,14367,-7971,26,94
344.626,14371,-7993,26,94
345.106,14367,-7928,26,94
345.633,14364,-8015,26,94
346.162,14367,-7975,26,94
346.613,14364,-7968,26,94
347.143,14360,-7978,26,94
347.609,14367,-7956,26,94
348.129,14360,-7965,26,94
348.657,14360,-7975,26,94
349.098,14360,-7965,26,94
349.611,14364,-7965,26,94
350.123,14360,-7959,26,94
350.623,14364,-7953,26,94
351.143,14360,-8006,26,94
351.627,14367,-8000,26,94
352.105,14367,-7940,26,94
352.658,14356,-7937,26,94
353.150,14364,-7937,26,94
353.646,14364,-7984,26,94
354.130,14360,-8012,26,94
354.656,14360,-7968,26,94
355.130,14360,-7968,26,94
355.661,14360,-7990,26,94
356.136,14371,-7978,26,94
356.637,14360,-7953,26,94
357.141,14364,-7953,26,94
357.658,14360,-7959,26,94
358.155,14360,-8009,26,94
358.617,14364,-7984,26,94
359.131,14356,-7968,26,94
359.679,14367,-7946,26,94
360.147,14364,-8000,26,94
360.628,14364,-7928,26,94
361.123,14367,-7953,26,94
361.637,14360,-7975,26,94
362.156,14353,-7965,26,94
362.677,14356,-7953,26,94
363.163,14360,-7950,26,94
363.620,14360,-7959,26,94
