Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
367.756,13053,23956,26,34
368.249,13050,23950,26,14
368.764,13046,23931,26,34
369.240,13046,23940,26,14
369.677,13050,23978,26,34
370.256,13050,23968,26,14
370.810,13053,23968,26,34
371.324,13053,23990,26,14
371.703,13053,23953,26,34
372.212,13057,23946,26,14
372.672,13057,23971,26,34
373.292,13057,23896,26,14
373.879,13053,23940,26,34
374.272,13046,23968,26,14
374.695,13053,23978,26,34
375.167,13053,23978,26,14
375.676,13053,23928,26,34
376.170,13053,23940,26,14
376.882,13053,23975,26,34
377.274,13060,23950,26,14
377.684,13060,23971,26,34
378.216,13057,23934,26,14
378.828,13060,23946,26,35
379.184,13057,23968,26,14
379.668,13057,23962,26,34
380.184,13057,23931,26,14
380.733,13064,23956,26,35
381.259,13060,23931,26,14
381.681,13057,23971,26,34
382.247,13060,23928,26,14
382.832,13060,23950,26,34
383.165,13064,23928,26,14
383.668,13057,23912,26,34
384.281,13060,23962,26,14
384.763,13060,23940,26,34
385.252,13064,23953,26,14
385.742,13060,23928,26,34
386.237,13057,23956,26,14
386.679,13064,23975,26,35
387.402,13064,23953,26,14
387.736,13064,23937,26,35
388.213,13064,23940,26,14
388.680,13060,23940,26,34
389.176,13057,23937,26,14
389.707,13068,23971,26,35
390.227,13064,23893,26,14
390.737,13068,23971,26,35
391.219,13068,23946,26,14
391.659,13064,23931,26,34
392.231,13060,23928,26,14
392.771,13068,23968,26,35
393.340,13071,23918,26,14
393.741,13068,23937,26,35
394.176,13068,23921,26,14
394.714,13071,23934,26,35
395.224,13068,23959,26,14
395.796,13071,23953,26,35
396.161,13071,23940,26,14
396.749,13064,23928,26,34
397.167,13068,23959,26,14
397.660,13071,23937,26,35
398.211,13068,23937,26,14
398.701,13071,23946,26,35
399.202,13068,23881,26,14
399.667,13071,23950,26,35
400.192,13071,23903,26,14
400.672,13071,23950,26,35
401.164,13075,23953,26,14
401.806,13071,23921,26,35
402.165,13071,23928,26,14
402.713,13075,23940,26,35
403.255,13075,23868,26,14
403.659,13075,23978,26,35
404.241,13068,23940,26,14
404.741,13075,23940,26,35
405.240,13075,23975,26,14
405.814,13071,23953,26,35
406.258,13075,23915,26,14
406.661,13078,23946,26,35
407.157,13078,23940,26,14
407.691,13078,23931,26,35
408.257,13078,23934,26,14
408.665,13075,23950,26,35
409.177,13078,23946,26,14
409.689,13075,23940,26,35
410.199,13078,23940,26,14
410.687,13075,23937,26,35
411.183,13082,23950,26,14
411.716,13078,23956,26,35
412.266,13078,23962,26,14
412.727,13078,23959,26,35
413.236,13078,23940,26,14
413.747,13082,23928,26,35
414.180,13075,23950,26,14
414.693,13078,23962,26,35
415.145,13082,23950,26,14
415.739,13082,23903,26,35
416.144,13082,23946,26,14
416.694,13082,23981,26,35
417.203,13078,23959,26,14
417.727,13082,23896,26,35
418.176,13086,23962,26,14
418.687,13082,23968,26,35
419.192,13082,23959,26,14
419.766,13082,23950,26,35
420.176,13086,23950,26,14
420.656,13082,23940,26,35
421.143,13086,23956,26,14
421.651,13086,23971,26,35
422.184,13086,23934,26,14
422.741,13086,23937,26,35
423.184,13086,23931,26,14
423.723,13086,23928,26,35
424.203,13089,23946,26,14
424.702,13086,23953,26,35
425.182,13082,23912,26,14
425.748,13089,23931,26,35
426.159,13089,23937,26,14
426.652,13089,23953,26,35
427.177,13089,23950,26,14
427.760,13093,23953,26,35
428.173,13089,23953,26,14
428.735,13086,23950,26,35
429.170,13089,23968,26,14
429.697,13089,23971,26,35
430.242,13093,23962,26,14
430.648,13096,23940,26,35
431.163,13096,23931,26,14
431.651,13093,23950,26,35
432.166,13096,23953,26,14
432.715,13089,23940,26,35
433.155,13093,23915,26,14
433.723,13096,23915,26,35
434.152,13093,23934,26,14
434.713,13089,23928,26,35
435.216,13096,23978,26,14
435.725,13100,23953,26,35
436.146,13089,23968,26,14
436.687,13093,23950,26,35
437.164,13100,23975,26,14
437.725,13096,23921,26,35
438.154,13100,23915,26,14
438.681,13096,23931,26,35
439.182,13100,23934,26,14
439.707,13096,23937,26,35
440.215,13100,23946,26,14
440.748,13096,23940,26,35
441.171,13096,23962,26,14
441.728,13104,23946,26,35
442.175,13104,23940,26,14
442.656,13100,23950,26,35
443.136,13100,23934,26,14
443.724,13100,23915,26,35
444.138,13096,23956,26,14
444.770,13100,23956,26,35
445.194,13100,23940,26,14
445.656,13100,23893,26,35
446.171,13104,23928,26,14
446.717,13107,23921,26,35
447.132,13104,23934,26,14
447.699,13100,23937,26,35
448.285,13104,23953,26,14
448.672,13104,23915,26,35
449.132,13104,23971,26,14
449.916,13104,23962,26,35
450.231,13104,23953,26,14
450.643,13107,23953,26,35
451.297,13107,23953,26,14
451.791,13100,23962,26,35
452.187,13104,23993,26,14
452.716,13100,23971,26,35
453.260,13107,23940,26,14
453.701,13104,23978,26,35
454.219,13111,23953,26,14
454.753,13107,23981,26,35
455.187,13111,23953,26,14
455.624,13111,23950,26,35
456.171,13104,23981,26,14
456.651,13104,23950,26,35
457.180,13107,23934,26,14
457.651,13107,23940,26,35
458.140,13104,23940,26,14
458.680,13114,23934,26,35
459.247,13107,23928,26,14
459.705,13111,23953,26,35
460.141,13114,23956,26,14
460.672,13114,23971,26,35
461.207,13107,23971,26,14
461.686,13111,23940,26,35
462.204,13107,23946,26,14
462.636,13111,23975,26,35
463.216,13111,23953,26,14
463.706,13122,23940,26,35
464.219,13111,23959,26,14
464.663,13114,23946,26,35
465.204,13118,23931,26,14
465.699,13114,23921,26,35
466.147,13114,23921,26,14
466.764,13111,23918,26,35
467.315,13118,23928,26,14
467.670,13114,23940,26,35
468.125,13111,23940,26,14
468.710,13111,23937,26,35
469.193,13111,23953,26,14
469.773,13111,23971,26,35
470.139,13118,23918,26,14
470.705,13118,23950,26,35
471.190,13114,23937,26,14
471.659,13118,23946,26,35
472.163,13114,23946,26,14
472.643,13118,24000,26,35
473.176,13114,23962,26,14
473.675,13122,23946,26,35
474.280,13114,23962,26,14
